# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 15:33:07.332725
# Surface: GRIS
# Number of points: 5
# Samples per point: 100
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
GRIS,1,1,3580,2886,1
GRIS,1,2,3542,2864,1
GRIS,1,3,3407,2900,1
GRIS,1,4,3598,2909,1
GRIS,1,5,3417,2888,1
GRIS,1,6,3229,2872,1
GRIS,1,7,3356,2861,1
GRIS,1,8,3629,2886,1
GRIS,1,9,3201,2890,1
GRIS,1,10,3458,2890,1
GRIS,1,11,3501,2892,1
GRIS,1,12,3393,2888,1
GRIS,1,13,3088,2861,1
GRIS,1,14,3575,2885,1
GRIS,1,15,3676,2888,1
GRIS,1,16,3251,2866,1
GRIS,1,17,3587,2895,1
GRIS,1,18,3599,2818,1
GRIS,1,19,3282,2899,1
GRIS,1,20,3547,2880,1
GRIS,1,21,3382,2893,1
GRIS,1,22,3241,2888,1
GRIS,1,23,3457,2876,1
GRIS,1,24,3476,2893,1
GRIS,1,25,3333,2895,1
GRIS,1,26,3283,2910,1
GRIS,1,27,3492,2892,1
GRIS,1,28,3390,2889,1
GRIS,1,29,3425,2892,1
GRIS,1,30,3535,2884,1
GRIS,1,31,3343,2875,1
GRIS,1,32,3310,2886,1
GRIS,1,33,3058,2887,1
GRIS,1,34,3126,2879,1
GRIS,1,35,2839,2860,1
GRIS,1,36,3406,2905,1
GRIS,1,37,3475,2897,1
GRIS,1,38,3502,2876,1
GRIS,1,39,3413,2900,1
GRIS,1,40,3319,2849,1
GRIS,1,41,3482,2853,1
GRIS,1,42,3123,2870,1
GRIS,1,43,2954,2847,1
GRIS,1,44,3058,2889,1
GRIS,1,45,3165,2871,1
GRIS,1,46,3380,2887,1
GRIS,1,47,3111,2864,1
GRIS,1,48,3457,2893,1
GRIS,1,49,3181,2891,1
GRIS,1,50,2873,2879,1
GRIS,1,51,3357,2860,1
GRIS,1,52,3374,2855,1
GRIS,1,53,3383,2879,1
GRIS,1,54,3582,2848,1
GRIS,1,55,3233,2851,1
GRIS,1,56,3267,2886,1
GRIS,1,57,3345,2856,1
GRIS,1,58,3474,2868,1
GRIS,1,59,3364,2884,1
GRIS,1,60,3697,2896,1
GRIS,1,61,3466,2902,1
GRIS,1,62,4017,2897,1
GRIS,1,63,3488,2830,1
GRIS,1,64,3429,2868,1
GRIS,1,65,3372,2866,1
GRIS,1,66,3469,2817,1
GRIS,1,67,3562,2874,1
GRIS,1,68,3286,2797,1
GRIS,1,69,3372,2859,1
GRIS,1,70,3423,2863,1
GRIS,1,71,3266,2889,1
GRIS,1,72,3070,2853,1
GRIS,1,73,3486,2889,1
GRIS,1,74,3212,2888,1
GRIS,1,75,4068,2906,1
GRIS,1,76,4095,2935,1
GRIS,1,77,3879,2902,1
GRIS,1,78,4085,2915,1
GRIS,1,79,4055,2902,1
GRIS,1,80,4054,2908,1
GRIS,1,81,3717,2887,1
GRIS,1,82,3338,2837,1
GRIS,1,83,3403,2870,1
GRIS,1,84,3417,2860,1
GRIS,1,85,2880,2891,1
GRIS,1,86,2890,2877,1
GRIS,1,87,3310,2881,1
GRIS,1,88,3015,2875,1
GRIS,1,89,3535,2898,1
GRIS,1,90,3028,2858,1
GRIS,1,91,3559,2870,1
GRIS,1,92,3183,2873,1
GRIS,1,93,2986,2873,1
GRIS,1,94,3214,2881,1
GRIS,1,95,3310,2876,1
GRIS,1,96,3177,2863,1
GRIS,1,97,3327,2875,1
GRIS,1,98,3476,2792,1
GRIS,1,99,3324,2897,1
GRIS,1,100,3389,2882,1
GRIS,2,1,3565,2893,1
GRIS,2,2,3363,2891,1
GRIS,2,3,3610,2855,1
GRIS,2,4,3161,2885,1
GRIS,2,5,3474,2871,1
GRIS,2,6,3418,2852,1
GRIS,2,7,3607,2888,1
GRIS,2,8,3380,2888,1
GRIS,2,9,3350,2897,1
GRIS,2,10,3584,2875,1
GRIS,2,11,3631,2857,1
GRIS,2,12,3580,2890,1
GRIS,2,13,3426,2854,1
GRIS,2,14,3567,2888,1
GRIS,2,15,3552,2890,1
