# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 15:36:20.805728
# Surface: NEGRO
# Number of points: 4
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
NEGRO,3,29,3517,2934,1
NEGRO,3,30,3222,2929,1
NEGRO,3,31,3482,2917,1
NEGRO,3,32,4076,2932,1
NEGRO,3,33,3248,2935,1
NEGRO,3,34,3894,2919,1
NEGRO,3,35,2928,2918,1
NEGRO,3,36,3755,2933,1
NEGRO,3,37,3423,2929,1
NEGRO,3,38,3808,2871,1
NEGRO,3,39,3385,2934,1
NEGRO,3,40,3981,2933,1
NEGRO,3,41,3958,2912,1
NEGRO,3,42,3866,2906,1
NEGRO,3,43,3957,2928,1
NEGRO,3,44,4016,2926,1
NEGRO,3,45,4003,2927,1
NEGRO,3,46,3810,2904,1
NEGRO,3,47,3252,2930,1
NEGRO,3,48,3558,2929,1
NEGRO,3,49,3777,2927,1
NEGRO,3,50,3412,2927,1
NEGRO,3,51,3270,2924,1
NEGRO,3,52,4095,2929,1
NEGRO,3,53,4095,2928,1
NEGRO,3,54,4095,2929,1
NEGRO,3,55,3703,2927,1
NEGRO,3,56,3717,2929,1
NEGRO,3,57,4040,2928,1
NEGRO,3,58,3995,2926,1
NEGRO,3,59,3449,2937,1
NEGRO,3,60,3430,2936,1
NEGRO,4,1,3417,2920,1
NEGRO,4,2,3428,2920,1
NEGRO,4,3,3471,2920,1
NEGRO,4,4,3462,2920,1
NEGRO,4,5,3444,2920,1
NEGRO,4,6,3422,2920,1
NEGRO,4,7,3429,2919,1
NEGRO,4,8,3411,2918,1
NEGRO,4,9,3415,2929,1
NEGRO,4,10,4018,2927,1
NEGRO,4,11,4086,2932,1
NEGRO,4,12,3781,2933,1
NEGRO,4,13,4095,2933,1
NEGRO,4,14,4059,2932,1
NEGRO,4,15,4095,2922,1
NEGRO,4,16,3979,2926,1
NEGRO,4,17,3978,2909,1
NEGRO,4,18,3999,2933,1
NEGRO,4,19,3386,2929,1
NEGRO,4,20,3613,2907,1
NEGRO,4,21,4043,2928,1
NEGRO,4,22,4095,2930,1
NEGRO,4,23,4095,2934,1
NEGRO,4,24,4095,2927,1
NEGRO,4,25,3495,2923,1
NEGRO,4,26,3958,2917,1
NEGRO,4,27,4053,2924,1
NEGRO,4,28,3994,2925,1
NEGRO,4,29,4069,2925,1
NEGRO,4,30,4015,2931,1
NEGRO,4,31,4001,2922,1
NEGRO,4,32,4070,2926,1
NEGRO,4,33,4025,2929,1
NEGRO,4,34,3114,2911,1
NEGRO,4,35,2946,2926,1
NEGRO,4,36,2776,2927,1
NEGRO,4,37,2763,2928,1
NEGRO,4,38,2729,2927,1
NEGRO,4,39,2715,2928,1
NEGRO,4,40,2711,2927,1
NEGRO,4,41,2690,2928,1
NEGRO,4,42,3937,2924,1
NEGRO,4,43,4095,2936,1
NEGRO,4,44,4016,2906,1
NEGRO,4,45,4075,2929,1
NEGRO,4,46,3488,2933,1
NEGRO,4,47,4033,2913,1
NEGRO,4,48,4095,2933,1
NEGRO,4,49,4095,2927,1
NEGRO,4,50,2965,2933,1
NEGRO,4,51,3741,2923,1
NEGRO,4,52,3812,2932,1
NEGRO,4,53,3784,2936,1
NEGRO,4,54,3713,2936,1
NEGRO,4,55,3662,2875,1
NEGRO,4,56,3933,2886,1
NEGRO,4,57,3404,2909,1
NEGRO,4,58,3441,2898,1
NEGRO,4,59,3340,2902,1
NEGRO,4,60,4039,2927,1
