# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 07:42:21.937985
# Surface: NEGRO
# Number of points: 4
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
NEGRO,1,1,4095,2933,1
NEGRO,1,2,4095,2936,1
NEGRO,1,3,4095,2936,1
NEGRO,1,4,4095,2935,1
NEGRO,1,5,4095,2934,1
NEGRO,1,6,4095,2933,1
NEGRO,1,7,4095,2929,1
NEGRO,1,8,4075,2934,1
NEGRO,1,9,4095,2933,1
NEGRO,1,10,4095,2931,1
NEGRO,1,11,4095,2934,1
NEGRO,1,12,4095,2934,1
NEGRO,1,13,4089,2932,1
NEGRO,1,14,4095,2927,1
NEGRO,1,15,4077,2927,1
NEGRO,1,16,4095,2937,1
NEGRO,1,17,4095,2939,1
NEGRO,1,18,4095,2938,1
NEGRO,1,19,4095,2938,1
NEGRO,1,20,4095,2937,1
NEGRO,1,21,4095,2939,1
NEGRO,1,22,4095,2939,1
NEGRO,1,23,4095,2938,1
NEGRO,1,24,4095,2933,1
NEGRO,1,25,4095,2940,1
NEGRO,1,26,4095,2939,1
NEGRO,1,27,4095,2940,1
NEGRO,1,28,4095,2937,1
NEGRO,1,29,4095,2924,1
NEGRO,1,30,4095,2938,1
NEGRO,1,31,4095,2893,1
NEGRO,1,32,4088,2860,1
NEGRO,1,33,3481,2821,1
NEGRO,1,34,4089,2826,1
NEGRO,1,35,4092,2860,1
NEGRO,1,36,4095,2839,1
NEGRO,1,37,3224,2924,1
NEGRO,1,38,3223,2846,1
NEGRO,1,39,2927,2931,1
NEGRO,1,40,3103,2931,1
NEGRO,1,41,2891,2932,1
NEGRO,1,42,3008,2930,1
NEGRO,1,43,3092,2935,1
NEGRO,1,44,3081,2933,1
NEGRO,1,45,3816,2935,1
NEGRO,1,46,3108,2928,1
NEGRO,1,47,4035,2918,1
NEGRO,1,48,4056,2935,1
NEGRO,1,49,4095,2935,1
NEGRO,1,50,4095,2936,1
NEGRO,1,51,3829,2933,1
NEGRO,1,52,4086,2932,1
NEGRO,1,53,4095,2926,1
NEGRO,1,54,4095,2933,1
NEGRO,1,55,4095,2934,1
NEGRO,1,56,4088,2930,1
NEGRO,1,57,4082,2932,1
NEGRO,1,58,4095,2935,1
NEGRO,1,59,4095,2934,1
NEGRO,1,60,4095,2937,1
NEGRO,2,1,4095,2936,1
NEGRO,2,2,4095,2935,1
NEGRO,2,3,4095,2935,1
NEGRO,2,4,4095,2934,1
NEGRO,2,5,4095,2931,1
NEGRO,2,6,3528,2931,1
NEGRO,2,7,4092,2935,1
NEGRO,2,8,4056,2934,1
NEGRO,2,9,3803,2933,1
NEGRO,2,10,3400,2931,1
NEGRO,2,11,3157,2904,1
NEGRO,2,12,3657,2894,1
NEGRO,2,13,3867,2912,1
NEGRO,2,14,3735,2804,1
NEGRO,2,15,3434,2912,1
NEGRO,2,16,3551,2884,1
NEGRO,2,17,3777,2906,1
NEGRO,2,18,3907,2913,1
NEGRO,2,19,3554,2866,1
NEGRO,2,20,4095,2920,1
NEGRO,2,21,4021,2909,1
NEGRO,2,22,3746,2926,1
NEGRO,2,23,4059,2933,1
NEGRO,2,24,4095,2934,1
NEGRO,2,25,4095,2933,1
NEGRO,2,26,4095,2929,1
NEGRO,2,27,4080,2928,1
NEGRO,2,28,4022,2925,1
NEGRO,2,29,4095,2931,1
NEGRO,2,30,3675,2929,1
NEGRO,2,31,4095,2934,1
NEGRO,2,32,4093,2931,1
NEGRO,2,33,4095,2936,1
NEGRO,2,34,4095,2934,1
NEGRO,2,35,4095,2936,1
NEGRO,2,36,4095,2937,1
NEGRO,2,37,4095,2935,1
NEGRO,2,38,4095,2935,1
NEGRO,2,39,4095,2936,1
NEGRO,2,40,4095,2935,1
NEGRO,2,41,4095,2935,1
NEGRO,2,42,4095,2936,1
NEGRO,2,43,4095,2938,1
NEGRO,2,44,4095,2934,1
NEGRO,2,45,4002,2935,1
NEGRO,2,46,4095,2937,1
NEGRO,2,47,3434,2934,1
NEGRO,2,48,3235,2938,1
NEGRO,2,49,4095,2934,1
NEGRO,2,50,3788,2891,1
NEGRO,2,51,4017,2928,1
NEGRO,2,52,4095,2933,1
NEGRO,2,53,3530,2920,1
NEGRO,2,54,3200,2882,1
NEGRO,2,55,4095,2865,1
NEGRO,2,56,4093,2934,1
NEGRO,2,57,4095,2924,1
NEGRO,2,58,4091,2929,1
NEGRO,2,59,4095,2936,1
NEGRO,2,60,4095,2936,1
NEGRO,3,1,4095,2936,1
NEGRO,3,2,4095,2937,1
NEGRO,3,3,4077,2932,1
NEGRO,3,4,4089,2936,1
NEGRO,3,5,3972,2933,1
NEGRO,3,6,4095,2934,1
NEGRO,3,7,4095,2933,1
NEGRO,3,8,4095,2841,1
NEGRO,3,9,4095,2908,1
NEGRO,3,10,4095,2923,1
NEGRO,3,11,3989,2937,1
NEGRO,3,12,4094,2939,1
NEGRO,3,13,4095,2933,1
NEGRO,3,14,4095,2939,1
NEGRO,3,15,4095,2935,1
NEGRO,3,16,4095,2938,1
NEGRO,3,17,4095,2937,1
NEGRO,3,18,4095,2937,1
NEGRO,3,19,4082,2933,1
NEGRO,3,20,3839,2933,1
NEGRO,3,21,4002,2935,1
NEGRO,3,22,4092,2933,1
NEGRO,3,23,4095,2934,1
NEGRO,3,24,4095,2935,1
NEGRO,3,25,4095,2936,1
NEGRO,3,26,3983,2929,1
NEGRO,3,27,4095,2931,1
NEGRO,3,28,4095,2936,1
NEGRO,3,29,4095,2929,1
NEGRO,3,30,3527,2933,1
NEGRO,3,31,4093,2932,1
NEGRO,3,32,4092,2933,1
NEGRO,3,33,4094,2932,1
NEGRO,3,34,4083,2934,1
NEGRO,3,35,4080,2935,1
NEGRO,3,36,4095,2937,1
NEGRO,3,37,4094,2932,1
NEGRO,3,38,4089,2935,1
NEGRO,3,39,3907,2929,1
