# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-08-28 16:35:04.716891
# Surface: ROJO
# Sensor under test (label only, set by firmware): DELANTERO
# Number of points: 1
# Samples per point: 150
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
ROJO,DELANTERO,1,115,1,773,471,190,119
ROJO,DELANTERO,1,116,1,615,427,125,91
ROJO,DELANTERO,1,117,1,798,503,178,121
ROJO,DELANTERO,1,118,1,787,530,168,120
ROJO,DELANTERO,1,119,1,792,528,173,123
ROJO,DELANTERO,1,120,1,675,477,131,97
ROJO,DELANTERO,1,121,1,781,530,157,113
ROJO,DELANTERO,1,122,1,951,611,220,154
ROJO,DELANTERO,1,123,1,1102,716,238,166
ROJO,DELANTERO,1,124,1,1284,815,296,208
ROJO,DELANTERO,1,125,1,1069,711,256,165
ROJO,DELANTERO,1,126,1,1100,707,252,171
ROJO,DELANTERO,1,127,1,1264,864,259,184
ROJO,DELANTERO,1,128,1,1209,844,245,177
ROJO,DELANTERO,1,129,1,1217,833,255,179
ROJO,DELANTERO,1,130,1,1328,831,319,213
ROJO,DELANTERO,1,131,1,1024,565,293,177
ROJO,DELANTERO,1,132,1,1104,753,227,163
ROJO,DELANTERO,1,133,1,900,643,178,129
ROJO,DELANTERO,1,134,1,924,646,186,135
ROJO,DELANTERO,1,135,1,951,642,203,144
ROJO,DELANTERO,1,136,1,777,483,187,124
ROJO,DELANTERO,1,137,1,804,339,291,162
ROJO,DELANTERO,1,138,1,764,315,281,156
ROJO,DELANTERO,1,139,1,730,302,267,148
ROJO,DELANTERO,1,140,1,849,344,314,173
ROJO,DELANTERO,1,141,1,838,340,312,172
ROJO,DELANTERO,1,142,1,852,345,318,175
ROJO,DELANTERO,1,143,1,896,368,332,184
ROJO,DELANTERO,1,144,1,794,350,280,158
ROJO,DELANTERO,1,145,1,773,526,164,117
ROJO,DELANTERO,1,146,1,964,599,231,159
ROJO,DELANTERO,1,147,1,653,459,132,95
ROJO,DELANTERO,1,148,1,603,422,121,89
ROJO,DELANTERO,1,149,1,542,388,104,78
ROJO,DELANTERO,1,150,1,978,656,208,139
