# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-08-28 16:31:35.246777
# Surface: AZUL
# Sensor under test (label only, set by firmware): DELANTERO
# Number of points: 1
# Samples per point: 150
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
AZUL,DELANTERO,1,118,1,368,113,128,130
AZUL,DELANTERO,1,119,1,362,109,124,129
AZUL,DELANTERO,1,120,1,323,103,112,113
AZUL,DELANTERO,1,121,1,351,106,121,125
AZUL,DELANTERO,1,122,1,432,137,145,140
AZUL,DELANTERO,1,123,1,439,139,153,147
AZUL,DELANTERO,1,124,1,429,145,146,138
AZUL,DELANTERO,1,125,1,430,142,146,140
AZUL,DELANTERO,1,126,1,437,144,149,145
AZUL,DELANTERO,1,127,1,488,167,167,156
AZUL,DELANTERO,1,128,1,498,163,171,164
AZUL,DELANTERO,1,129,1,508,161,176,169
AZUL,DELANTERO,1,130,1,476,144,167,163
AZUL,DELANTERO,1,131,1,397,111,138,143
AZUL,DELANTERO,1,132,1,374,106,130,136
AZUL,DELANTERO,1,133,1,428,125,152,151
AZUL,DELANTERO,1,134,1,405,114,142,145
AZUL,DELANTERO,1,135,1,412,116,145,148
AZUL,DELANTERO,1,136,1,414,117,146,149
AZUL,DELANTERO,1,137,1,509,147,175,176
AZUL,DELANTERO,1,138,1,524,154,178,178
AZUL,DELANTERO,1,139,1,584,178,206,197
AZUL,DELANTERO,1,140,1,629,198,217,205
AZUL,DELANTERO,1,141,1,570,165,191,192
AZUL,DELANTERO,1,142,1,531,146,184,192
AZUL,DELANTERO,1,143,1,563,157,193,199
AZUL,DELANTERO,1,144,1,633,193,221,210
AZUL,DELANTERO,1,145,1,725,208,259,243
AZUL,DELANTERO,1,146,1,751,205,275,255
AZUL,DELANTERO,1,147,1,710,199,256,242
AZUL,DELANTERO,1,148,1,780,230,280,254
AZUL,DELANTERO,1,149,1,790,229,284,260
AZUL,DELANTERO,1,150,1,789,205,293,267
