# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-08-28 16:30:30.966237
# Surface: AZUL
# Sensor under test (label only, set by firmware): DELANTERO
# Number of points: 4
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
AZUL,DELANTERO,1,1,1,724,156,287,262
AZUL,DELANTERO,1,2,1,1190,270,486,392
AZUL,DELANTERO,1,3,1,892,224,365,306
AZUL,DELANTERO,1,4,1,896,206,363,320
AZUL,DELANTERO,1,5,1,1040,254,415,341
AZUL,DELANTERO,1,6,1,913,231,355,308
AZUL,DELANTERO,1,7,1,1387,411,555,425
AZUL,DELANTERO,1,8,1,1178,326,450,364
AZUL,DELANTERO,1,9,1,962,276,365,310
AZUL,DELANTERO,1,10,1,825,220,319,282
AZUL,DELANTERO,1,11,1,723,208,272,246
AZUL,DELANTERO,1,12,1,458,140,164,163
AZUL,DELANTERO,1,13,1,476,167,168,150
AZUL,DELANTERO,1,14,1,455,151,166,153
AZUL,DELANTERO,1,15,1,503,190,181,151
AZUL,DELANTERO,1,16,1,255,104,91,72
AZUL,DELANTERO,1,17,1,81,30,28,26
AZUL,DELANTERO,1,18,1,126,48,44,39
AZUL,DELANTERO,1,19,1,213,69,71,73
AZUL,DELANTERO,1,20,1,457,165,146,122
AZUL,DELANTERO,1,21,1,466,169,152,124
AZUL,DELANTERO,1,22,1,283,92,94,95
AZUL,DELANTERO,1,23,1,367,130,118,106
AZUL,DELANTERO,1,24,1,287,94,97,96
AZUL,DELANTERO,1,25,1,492,177,158,135
AZUL,DELANTERO,1,26,1,393,134,135,125
AZUL,DELANTERO,1,27,1,369,119,126,123
AZUL,DELANTERO,1,28,1,369,122,126,120
AZUL,DELANTERO,1,29,1,370,122,125,119
AZUL,DELANTERO,1,30,1,377,129,126,118
AZUL,DELANTERO,1,31,1,535,188,190,166
AZUL,DELANTERO,1,32,1,488,151,168,163
AZUL,DELANTERO,1,33,1,669,214,235,213
AZUL,DELANTERO,1,34,1,705,214,251,229
AZUL,DELANTERO,1,35,1,641,190,228,214
AZUL,DELANTERO,1,36,1,616,184,218,207
AZUL,DELANTERO,1,37,1,672,203,237,221
AZUL,DELANTERO,1,38,1,750,228,265,246
AZUL,DELANTERO,1,39,1,670,186,241,223
AZUL,DELANTERO,1,40,1,680,211,243,222
AZUL,DELANTERO,1,41,1,627,176,226,223
AZUL,DELANTERO,1,42,1,701,205,258,241
AZUL,DELANTERO,1,43,1,784,233,274,251
AZUL,DELANTERO,1,44,1,811,261,291,251
AZUL,DELANTERO,1,45,1,661,194,235,219
AZUL,DELANTERO,1,46,1,795,235,280,255
AZUL,DELANTERO,1,47,1,636,181,222,215
AZUL,DELANTERO,1,48,1,697,210,249,230
AZUL,DELANTERO,1,49,1,575,174,201,193
AZUL,DELANTERO,1,50,1,717,242,262,225
AZUL,DELANTERO,1,51,1,508,148,174,179
AZUL,DELANTERO,1,52,1,531,157,181,181
AZUL,DELANTERO,1,53,1,583,165,199,201
AZUL,DELANTERO,1,54,1,570,157,194,201
AZUL,DELANTERO,1,55,1,659,189,238,221
AZUL,DELANTERO,1,56,1,653,208,232,211
AZUL,DELANTERO,1,57,1,370,104,126,134
AZUL,DELANTERO,1,58,1,821,282,277,233
AZUL,DELANTERO,1,59,1,494,154,172,164
AZUL,DELANTERO,1,60,1,620,200,216,199
AZUL,DELANTERO,2,1,1,793,251,281,246
AZUL,DELANTERO,2,2,1,797,252,282,247
AZUL,DELANTERO,2,3,1,800,253,283,248
AZUL,DELANTERO,2,4,1,798,252,282,247
AZUL,DELANTERO,2,5,1,797,252,282,247
AZUL,DELANTERO,2,6,1,798,253,282,247
AZUL,DELANTERO,2,7,1,797,252,282,246
AZUL,DELANTERO,2,8,1,798,253,282,247
AZUL,DELANTERO,2,9,1,796,252,282,246
AZUL,DELANTERO,2,10,1,793,252,281,246
AZUL,DELANTERO,2,11,1,795,252,281,246
AZUL,DELANTERO,2,12,1,796,252,282,246
