# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-08-28 16:33:06.758206
# Surface: AMARILLO
# Sensor under test (label only, set by firmware): DELANTERO
# Number of points: 2
# Samples per point: 100
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
AMARILLO,DELANTERO,1,99,1,2975,1424,1098,378
AMARILLO,DELANTERO,1,100,1,3034,1447,1130,380
AMARILLO,DELANTERO,2,1,1,3830,1816,1417,481
AMARILLO,DELANTERO,2,2,1,3847,1824,1421,486
AMARILLO,DELANTERO,2,3,1,3693,1752,1360,470
AMARILLO,DELANTERO,2,4,1,3313,1578,1228,411
AMARILLO,DELANTERO,2,5,1,3236,1539,1205,397
AMARILLO,DELANTERO,2,6,1,3302,1571,1230,407
AMARILLO,DELANTERO,2,7,1,3371,1604,1256,418
AMARILLO,DELANTERO,2,8,1,3446,1635,1283,430
AMARILLO,DELANTERO,2,9,1,3549,1683,1318,441
AMARILLO,DELANTERO,2,10,1,3852,1813,1431,499
AMARILLO,DELANTERO,2,11,1,3896,1840,1466,489
AMARILLO,DELANTERO,2,12,1,4172,1958,1564,517
AMARILLO,DELANTERO,2,13,1,4722,2219,1776,611
AMARILLO,DELANTERO,2,14,1,4458,2098,1676,562
AMARILLO,DELANTERO,2,15,1,4473,2090,1680,556
AMARILLO,DELANTERO,2,16,1,4515,2119,1690,565
AMARILLO,DELANTERO,2,17,1,4548,2121,1712,571
AMARILLO,DELANTERO,2,18,1,5004,2372,1853,619
AMARILLO,DELANTERO,2,19,1,5445,2573,2020,678
AMARILLO,DELANTERO,2,20,1,5500,2600,2051,669
AMARILLO,DELANTERO,2,21,1,5741,2705,2132,717
AMARILLO,DELANTERO,2,22,1,5750,2707,2135,718
AMARILLO,DELANTERO,2,23,1,5722,2696,2125,715
AMARILLO,DELANTERO,2,24,1,5708,2688,2119,713
AMARILLO,DELANTERO,2,25,1,5570,2630,2074,681
AMARILLO,DELANTERO,2,26,1,4782,2246,1788,612
AMARILLO,DELANTERO,2,27,1,4892,2292,1840,601
AMARILLO,DELANTERO,2,28,1,5620,2619,2099,718
AMARILLO,DELANTERO,2,29,1,5314,2475,1993,659
AMARILLO,DELANTERO,2,30,1,4831,2265,1818,592
AMARILLO,DELANTERO,2,31,1,4489,2114,1689,557
AMARILLO,DELANTERO,2,32,1,3912,1849,1465,480
AMARILLO,DELANTERO,2,33,1,4476,2100,1671,571
AMARILLO,DELANTERO,2,34,1,4876,2285,1823,617
AMARILLO,DELANTERO,2,35,1,5114,2387,1908,663
AMARILLO,DELANTERO,2,36,1,4499,2111,1690,551
