# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-09-07 16:24:30.042486
# Surface: AMARILLO
# Sensor under test: DELANTERO
# Number of points: 8
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
AMARILLO,DELANTERO,2,26,1,4308,2136,1481,442
AMARILLO,DELANTERO,2,27,1,4109,2041,1414,423
AMARILLO,DELANTERO,2,28,1,4143,2051,1409,438
AMARILLO,DELANTERO,2,29,1,3679,1841,1249,382
AMARILLO,DELANTERO,2,30,1,3787,1894,1284,391
AMARILLO,DELANTERO,2,31,1,3982,1980,1363,417
AMARILLO,DELANTERO,2,32,1,3852,1919,1317,399
AMARILLO,DELANTERO,2,33,1,3145,1574,1069,320
AMARILLO,DELANTERO,2,34,1,3283,1642,1121,334
AMARILLO,DELANTERO,2,35,1,3332,1666,1133,355
AMARILLO,DELANTERO,2,36,1,1996,1013,663,226
AMARILLO,DELANTERO,2,37,1,1951,950,678,216
AMARILLO,DELANTERO,2,38,1,2876,1440,985,295
AMARILLO,DELANTERO,2,39,1,3410,1707,1168,352
AMARILLO,DELANTERO,2,40,1,3449,1727,1178,352
AMARILLO,DELANTERO,2,41,1,3825,1909,1311,404
AMARILLO,DELANTERO,2,42,1,3716,1853,1270,378
AMARILLO,DELANTERO,2,43,1,3991,1983,1373,406
AMARILLO,DELANTERO,2,44,1,4278,2111,1476,454
AMARILLO,DELANTERO,2,45,1,4667,2298,1614,480
AMARILLO,DELANTERO,2,46,1,4674,2307,1611,481
AMARILLO,DELANTERO,2,47,1,4320,2142,1482,451
AMARILLO,DELANTERO,2,48,1,3754,1877,1284,384
AMARILLO,DELANTERO,2,49,1,4042,2038,1363,416
AMARILLO,DELANTERO,2,50,1,4462,2242,1509,447
AMARILLO,DELANTERO,2,51,1,5744,2845,1956,577
AMARILLO,DELANTERO,2,52,1,5165,2582,1754,527
AMARILLO,DELANTERO,2,53,1,5238,2571,1811,544
AMARILLO,DELANTERO,2,54,1,5620,2745,1950,584
AMARILLO,DELANTERO,2,55,1,5657,2762,1964,588
AMARILLO,DELANTERO,2,56,1,5686,2775,1974,592
AMARILLO,DELANTERO,2,57,1,5709,2786,1983,594
AMARILLO,DELANTERO,2,58,1,5728,2795,1988,596
AMARILLO,DELANTERO,2,59,1,5747,2802,1996,598
AMARILLO,DELANTERO,2,60,1,5760,2807,2001,600
AMARILLO,DELANTERO,3,1,1,4720,2364,1604,473
AMARILLO,DELANTERO,3,2,1,5166,2583,1754,533
AMARILLO,DELANTERO,3,3,1,5645,2790,1935,588
AMARILLO,DELANTERO,3,4,1,5927,2916,2053,613
AMARILLO,DELANTERO,3,5,1,6249,3064,2171,647
AMARILLO,DELANTERO,3,6,1,6364,3118,2213,654
AMARILLO,DELANTERO,3,7,1,6119,3012,2125,617
AMARILLO,DELANTERO,3,8,1,5766,2837,1995,592
AMARILLO,DELANTERO,3,9,1,5643,2745,1950,596
AMARILLO,DELANTERO,3,10,1,5503,2686,1915,567
AMARILLO,DELANTERO,3,11,1,6034,2918,2118,620
AMARILLO,DELANTERO,3,12,1,6159,2972,2166,633
AMARILLO,DELANTERO,3,13,1,5970,2892,2091,614
AMARILLO,DELANTERO,3,14,1,6043,2921,2124,621
AMARILLO,DELANTERO,3,15,1,5946,2883,2082,608
AMARILLO,DELANTERO,3,16,1,5756,2789,2010,592
AMARILLO,DELANTERO,3,17,1,5587,2710,1947,573
AMARILLO,DELANTERO,3,18,1,5138,2508,1788,524
AMARILLO,DELANTERO,3,19,1,5456,2649,1888,581
AMARILLO,DELANTERO,3,20,1,5888,2857,2065,616
AMARILLO,DELANTERO,3,21,1,5859,2832,2065,588
AMARILLO,DELANTERO,3,22,1,5913,2855,2085,594
