# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-09-07 17:40:46.098743
# Surface: GRIS
# Sensor under test: DELANTERO
# Number of points: 5
# Samples per point: 100
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
GRIS,DELANTERO,1,1,1,1081,448,382,202
GRIS,DELANTERO,1,2,1,1099,455,388,205
GRIS,DELANTERO,1,3,1,1115,462,394,208
GRIS,DELANTERO,1,4,1,1111,461,391,207
GRIS,DELANTERO,1,5,1,1160,481,405,217
GRIS,DELANTERO,1,6,1,1118,455,398,211
GRIS,DELANTERO,1,7,1,1293,526,450,241
GRIS,DELANTERO,1,8,1,1115,451,397,210
GRIS,DELANTERO,1,9,1,1084,438,379,204
GRIS,DELANTERO,1,10,1,970,403,337,182
GRIS,DELANTERO,1,11,1,685,285,239,127
GRIS,DELANTERO,1,12,1,926,387,319,172
GRIS,DELANTERO,1,13,1,1330,548,463,249
GRIS,DELANTERO,1,14,1,1406,575,490,264
GRIS,DELANTERO,1,15,1,1455,603,519,275
GRIS,DELANTERO,1,16,1,1281,523,450,241
GRIS,DELANTERO,1,17,1,1066,439,368,198
GRIS,DELANTERO,1,18,1,922,383,323,172
GRIS,DELANTERO,1,19,1,726,307,249,135
GRIS,DELANTERO,1,20,1,546,235,187,101
GRIS,DELANTERO,1,21,1,602,256,208,112
GRIS,DELANTERO,1,22,1,785,329,270,147
GRIS,DELANTERO,1,23,1,855,354,296,160
GRIS,DELANTERO,1,24,1,917,381,322,172
GRIS,DELANTERO,1,25,1,907,374,314,169
GRIS,DELANTERO,1,26,1,831,347,288,156
GRIS,DELANTERO,1,27,1,656,277,229,124
GRIS,DELANTERO,1,28,1,671,281,231,126
GRIS,DELANTERO,1,29,1,527,222,183,99
GRIS,DELANTERO,1,30,1,591,249,205,110
GRIS,DELANTERO,1,31,1,709,299,244,132
GRIS,DELANTERO,1,32,1,585,249,202,107
GRIS,DELANTERO,1,33,1,757,316,264,142
GRIS,DELANTERO,1,34,1,643,272,221,119
GRIS,DELANTERO,1,35,1,569,243,196,106
GRIS,DELANTERO,1,36,1,551,238,189,103
GRIS,DELANTERO,1,37,1,572,245,196,107
GRIS,DELANTERO,1,38,1,611,261,209,114
GRIS,DELANTERO,1,39,1,656,278,226,122
GRIS,DELANTERO,1,40,1,773,322,269,145
GRIS,DELANTERO,1,41,1,819,338,284,152
GRIS,DELANTERO,1,42,1,718,301,249,134
GRIS,DELANTERO,1,43,1,670,282,232,124
GRIS,DELANTERO,1,44,1,775,321,269,144
GRIS,DELANTERO,1,45,1,904,377,313,169
GRIS,DELANTERO,1,46,1,860,354,301,162
GRIS,DELANTERO,1,47,1,765,317,266,144
GRIS,DELANTERO,1,48,1,826,346,285,155
GRIS,DELANTERO,1,49,1,789,327,275,148
GRIS,DELANTERO,1,50,1,651,274,224,121
GRIS,DELANTERO,1,51,1,744,316,255,139
GRIS,DELANTERO,1,52,1,743,314,256,139
GRIS,DELANTERO,1,53,1,786,332,270,147
GRIS,DELANTERO,1,54,1,712,301,246,133
GRIS,DELANTERO,1,55,1,750,316,258,140
GRIS,DELANTERO,1,56,1,887,368,308,166
GRIS,DELANTERO,1,57,1,872,361,303,164
GRIS,DELANTERO,1,58,1,1011,415,352,189
GRIS,DELANTERO,1,59,1,1197,486,420,224
GRIS,DELANTERO,1,60,1,1106,458,386,206
GRIS,DELANTERO,1,61,1,1106,455,387,207
GRIS,DELANTERO,1,62,1,1252,500,443,237
GRIS,DELANTERO,1,63,1,1324,537,468,249
GRIS,DELANTERO,1,64,1,1026,411,365,194
GRIS,DELANTERO,1,65,1,1328,548,468,250
GRIS,DELANTERO,1,66,1,1395,565,484,260
GRIS,DELANTERO,1,67,1,1262,510,438,234
GRIS,DELANTERO,1,68,1,1166,478,411,219
GRIS,DELANTERO,1,69,1,1324,541,460,247
GRIS,DELANTERO,1,70,1,1121,464,389,207
GRIS,DELANTERO,1,71,1,1126,460,400,212
GRIS,DELANTERO,1,72,1,992,419,344,185
GRIS,DELANTERO,1,73,1,801,323,266,143
GRIS,DELANTERO,1,74,1,607,257,211,112
GRIS,DELANTERO,1,75,1,638,270,220,117
GRIS,DELANTERO,1,76,1,694,291,240,129
GRIS,DELANTERO,1,77,1,827,342,290,154
GRIS,DELANTERO,1,78,1,875,356,309,164
GRIS,DELANTERO,1,79,1,1036,419,364,193
GRIS,DELANTERO,1,80,1,1211,488,427,226
GRIS,DELANTERO,1,81,1,1199,480,430,224
GRIS,DELANTERO,1,82,1,966,401,340,179
GRIS,DELANTERO,1,83,1,1009,416,357,189
GRIS,DELANTERO,1,84,1,1176,492,408,219
GRIS,DELANTERO,1,85,1,966,407,335,178
GRIS,DELANTERO,1,86,1,820,342,283,151
GRIS,DELANTERO,1,87,1,738,308,255,136
GRIS,DELANTERO,1,88,1,769,325,267,142
GRIS,DELANTERO,1,89,1,619,260,214,114
GRIS,DELANTERO,1,90,1,701,296,244,130
GRIS,DELANTERO,1,91,1,790,331,274,147
GRIS,DELANTERO,1,92,1,880,364,308,166
GRIS,DELANTERO,1,93,1,923,383,322,171
GRIS,DELANTERO,1,94,1,1352,540,475,251
GRIS,DELANTERO,1,95,1,820,344,286,151
GRIS,DELANTERO,1,96,1,846,353,293,156
GRIS,DELANTERO,1,97,1,568,241,195,104
GRIS,DELANTERO,1,98,1,461,195,159,85
GRIS,DELANTERO,1,99,1,511,214,177,96
GRIS,DELANTERO,1,100,1,569,243,196,106
GRIS,DELANTERO,2,1,1,1138,453,404,215
