# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-08-28 16:38:38.378535
# Surface: NEGRO
# Sensor under test (label only, set by firmware): DELANTERO
# Number of points: 4
# Samples per point: 50
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
NEGRO,DELANTERO,3,13,1,392,166,142,81
NEGRO,DELANTERO,3,14,1,391,166,142,81
NEGRO,DELANTERO,3,15,1,238,102,83,49
NEGRO,DELANTERO,3,16,1,297,127,99,60
NEGRO,DELANTERO,3,17,1,192,83,65,38
NEGRO,DELANTERO,3,18,1,142,63,48,29
NEGRO,DELANTERO,3,19,1,145,63,51,30
NEGRO,DELANTERO,3,20,1,535,199,203,114
NEGRO,DELANTERO,3,21,1,444,129,188,105
NEGRO,DELANTERO,3,22,1,545,159,231,131
NEGRO,DELANTERO,3,23,1,686,213,287,159
NEGRO,DELANTERO,3,24,1,477,142,217,115
NEGRO,DELANTERO,3,25,1,404,149,161,86
NEGRO,DELANTERO,3,26,1,390,149,147,82
NEGRO,DELANTERO,3,27,1,432,179,163,92
NEGRO,DELANTERO,3,28,1,243,108,89,51
NEGRO,DELANTERO,3,29,1,355,153,128,76
NEGRO,DELANTERO,3,30,1,181,78,64,37
NEGRO,DELANTERO,3,31,1,213,97,80,45
NEGRO,DELANTERO,3,32,1,196,84,70,41
NEGRO,DELANTERO,3,33,1,641,258,239,132
NEGRO,DELANTERO,3,34,1,273,118,95,55
NEGRO,DELANTERO,3,35,1,322,140,124,69
NEGRO,DELANTERO,3,36,1,215,95,78,45
NEGRO,DELANTERO,3,37,1,209,92,74,44
NEGRO,DELANTERO,3,38,1,618,210,243,134
NEGRO,DELANTERO,3,39,1,594,194,242,133
NEGRO,DELANTERO,3,40,1,694,258,261,147
NEGRO,DELANTERO,3,41,1,653,255,252,138
NEGRO,DELANTERO,3,42,1,455,174,170,96
NEGRO,DELANTERO,3,43,1,300,117,113,64
NEGRO,DELANTERO,3,44,1,468,186,174,98
NEGRO,DELANTERO,3,45,1,338,145,125,72
NEGRO,DELANTERO,3,46,1,445,185,159,94
NEGRO,DELANTERO,3,47,1,443,185,162,93
NEGRO,DELANTERO,3,48,1,178,75,65,38
NEGRO,DELANTERO,3,49,1,117,50,42,25
NEGRO,DELANTERO,3,50,1,174,74,63,37
NEGRO,DELANTERO,4,1,1,409,172,150,87
NEGRO,DELANTERO,4,2,1,347,145,122,71
NEGRO,DELANTERO,4,3,1,67,31,24,15
NEGRO,DELANTERO,4,4,1,92,40,32,21
NEGRO,DELANTERO,4,5,1,192,86,68,41
NEGRO,DELANTERO,4,6,1,281,120,98,57
NEGRO,DELANTERO,4,7,1,373,162,137,80
NEGRO,DELANTERO,4,8,1,238,104,88,50
NEGRO,DELANTERO,4,9,1,321,141,110,66
NEGRO,DELANTERO,4,10,1,243,105,80,48
NEGRO,DELANTERO,4,11,1,288,126,101,61
NEGRO,DELANTERO,4,12,1,194,86,72,42
NEGRO,DELANTERO,4,13,1,574,242,205,129
NEGRO,DELANTERO,4,14,1,509,226,203,114
NEGRO,DELANTERO,4,15,1,582,238,211,128
NEGRO,DELANTERO,4,16,1,328,150,133,69
NEGRO,DELANTERO,4,17,1,201,85,73,42
NEGRO,DELANTERO,4,18,1,192,82,70,41
NEGRO,DELANTERO,4,19,1,252,104,92,53
NEGRO,DELANTERO,4,20,1,238,99,86,50
NEGRO,DELANTERO,4,21,1,272,117,98,56
NEGRO,DELANTERO,4,22,1,421,172,154,87
NEGRO,DELANTERO,4,23,1,483,202,177,100
NEGRO,DELANTERO,4,24,1,286,117,102,58
NEGRO,DELANTERO,4,25,1,550,221,197,117
NEGRO,DELANTERO,4,26,1,412,173,160,90
NEGRO,DELANTERO,4,27,1,341,145,131,72
NEGRO,DELANTERO,4,28,1,288,120,107,61
NEGRO,DELANTERO,4,29,1,354,147,122,71
NEGRO,DELANTERO,4,30,1,268,112,95,55
NEGRO,DELANTERO,4,31,1,208,88,75,44
NEGRO,DELANTERO,4,32,1,274,114,99,57
NEGRO,DELANTERO,4,33,1,506,202,177,102
NEGRO,DELANTERO,4,34,1,402,168,151,87
NEGRO,DELANTERO,4,35,1,388,166,144,84
NEGRO,DELANTERO,4,36,1,226,100,80,47
NEGRO,DELANTERO,4,37,1,193,65,76,52
NEGRO,DELANTERO,4,38,1,397,168,145,82
