# ROVER COLOR SENSOR CHARACTERIZATION
# Date: 2026-09-07 17:38:34.525264
# Surface: GRIS
# Sensor under test: DELANTERO
# Number of points: 6
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,sensor_under_test,point,sample,ok,clear,r,g,b
GRIS,DELANTERO,1,1,1,482,204,166,90
GRIS,DELANTERO,1,2,1,701,295,242,130
GRIS,DELANTERO,1,3,1,856,355,297,159
GRIS,DELANTERO,1,4,1,867,362,300,162
GRIS,DELANTERO,1,5,1,583,245,201,109
GRIS,DELANTERO,1,6,1,631,267,217,117
GRIS,DELANTERO,1,7,1,785,327,271,147
GRIS,DELANTERO,1,8,1,916,384,317,172
GRIS,DELANTERO,1,9,1,840,348,291,158
GRIS,DELANTERO,1,10,1,1019,420,356,191
GRIS,DELANTERO,1,11,1,1085,445,382,203
GRIS,DELANTERO,1,12,1,1243,498,434,231
GRIS,DELANTERO,1,13,1,1179,473,415,222
GRIS,DELANTERO,1,14,1,1210,496,426,226
GRIS,DELANTERO,1,15,1,1179,487,411,221
GRIS,DELANTERO,1,16,1,1085,449,381,204
GRIS,DELANTERO,1,17,1,1095,449,380,205
GRIS,DELANTERO,1,18,1,922,375,324,173
GRIS,DELANTERO,1,19,1,717,297,251,134
GRIS,DELANTERO,1,20,1,787,330,275,147
GRIS,DELANTERO,1,21,1,986,408,342,185
GRIS,DELANTERO,1,22,1,817,337,286,153
GRIS,DELANTERO,1,23,1,921,380,319,172
GRIS,DELANTERO,1,24,1,747,311,259,140
GRIS,DELANTERO,1,25,1,848,348,297,159
GRIS,DELANTERO,1,26,1,909,371,318,170
GRIS,DELANTERO,1,27,1,860,353,300,161
GRIS,DELANTERO,1,28,1,809,338,280,150
GRIS,DELANTERO,1,29,1,696,293,244,130
GRIS,DELANTERO,1,30,1,683,291,236,128
GRIS,DELANTERO,1,31,1,675,285,235,127
GRIS,DELANTERO,1,32,1,681,286,235,127
GRIS,DELANTERO,1,33,1,665,281,229,125
GRIS,DELANTERO,1,34,1,619,262,213,116
GRIS,DELANTERO,1,35,1,724,304,251,136
GRIS,DELANTERO,1,36,1,923,379,322,174
GRIS,DELANTERO,1,37,1,993,401,351,188
GRIS,DELANTERO,1,38,1,999,403,354,190
GRIS,DELANTERO,1,39,1,1000,403,355,190
GRIS,DELANTERO,1,40,1,1001,403,355,190
GRIS,DELANTERO,1,41,1,1003,403,356,191
GRIS,DELANTERO,1,42,1,1003,402,357,191
GRIS,DELANTERO,1,43,1,996,399,355,190
GRIS,DELANTERO,1,44,1,988,395,353,188
GRIS,DELANTERO,1,45,1,985,393,352,187
GRIS,DELANTERO,1,46,1,983,394,350,187
GRIS,DELANTERO,1,47,1,1015,407,361,193
GRIS,DELANTERO,1,48,1,1017,407,363,194
GRIS,DELANTERO,1,49,1,1020,408,364,194
GRIS,DELANTERO,1,50,1,1024,410,365,195
GRIS,DELANTERO,1,51,1,1026,410,366,196
GRIS,DELANTERO,1,52,1,1029,411,367,196
GRIS,DELANTERO,1,53,1,1032,413,368,197
GRIS,DELANTERO,1,54,1,1034,413,369,197
GRIS,DELANTERO,1,55,1,1036,413,370,197
GRIS,DELANTERO,1,56,1,1037,414,371,198
GRIS,DELANTERO,1,57,1,1038,414,371,198
GRIS,DELANTERO,1,58,1,1039,415,371,198
GRIS,DELANTERO,1,59,1,1040,415,372,198
GRIS,DELANTERO,1,60,1,1041,415,372,198
