# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 07:17:36.920950
# Surface: GRIS
# Number of points: 5
# Samples per point: 100
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
GRIS,1,1,0,162,1
GRIS,1,2,0,151,1
GRIS,1,3,0,145,1
GRIS,1,4,0,143,1
GRIS,1,5,0,142,1
GRIS,1,6,0,143,1
GRIS,1,7,0,140,1
GRIS,1,8,0,137,1
GRIS,1,9,0,138,1
GRIS,1,10,0,138,1
GRIS,1,11,0,138,1
GRIS,1,12,0,137,1
GRIS,1,13,0,138,1
GRIS,1,14,0,137,1
GRIS,1,15,0,132,1
GRIS,1,16,0,133,1
GRIS,1,17,0,130,1
GRIS,1,18,0,136,1
GRIS,1,19,0,135,1
GRIS,1,20,0,133,1
GRIS,1,21,0,134,1
GRIS,1,22,0,133,1
GRIS,1,23,0,132,1
GRIS,1,24,0,135,1
GRIS,1,25,0,132,1
GRIS,1,26,0,133,1
GRIS,1,27,0,132,1
GRIS,1,28,0,130,1
GRIS,1,29,0,131,1
GRIS,1,30,0,128,1
GRIS,1,31,0,132,1
GRIS,1,32,0,134,1
GRIS,1,33,0,133,1
GRIS,1,34,0,132,1
GRIS,1,35,0,132,1
GRIS,1,36,0,130,1
GRIS,1,37,0,129,1
GRIS,1,38,0,129,1
GRIS,1,39,0,126,1
GRIS,1,40,0,129,1
GRIS,1,41,0,130,1
GRIS,1,42,0,132,1
GRIS,1,43,0,132,1
GRIS,1,44,0,130,1
GRIS,1,45,0,130,1
GRIS,1,46,0,129,1
GRIS,1,47,0,127,1
GRIS,1,48,0,128,1
GRIS,1,49,0,137,1
GRIS,1,50,0,128,1
GRIS,1,51,0,125,1
GRIS,1,52,0,126,1
GRIS,1,53,0,127,1
GRIS,1,54,0,127,1
GRIS,1,55,0,127,1
GRIS,1,56,0,124,1
GRIS,1,57,0,121,1
GRIS,1,58,0,124,1
GRIS,1,59,0,124,1
GRIS,1,60,0,124,1
GRIS,1,61,0,126,1
GRIS,1,62,0,125,1
GRIS,1,63,0,130,1
GRIS,1,64,0,128,1
GRIS,1,65,0,128,1
GRIS,1,66,0,125,1
GRIS,1,67,0,126,1
GRIS,1,68,0,126,1
GRIS,1,69,0,130,1
GRIS,1,70,0,133,1
GRIS,1,71,0,129,1
GRIS,1,72,0,130,1
GRIS,1,73,0,133,1
GRIS,1,74,0,134,1
GRIS,1,75,0,121,1
GRIS,1,76,0,133,1
GRIS,1,77,0,131,1
GRIS,1,78,0,129,1
GRIS,1,79,0,129,1
GRIS,1,80,0,129,1
GRIS,1,81,0,128,1
GRIS,1,82,0,109,1
GRIS,1,83,0,133,1
GRIS,1,84,0,129,1
GRIS,1,85,0,131,1
GRIS,1,86,0,129,1
GRIS,1,87,0,130,1
GRIS,1,88,0,131,1
GRIS,1,89,0,131,1
GRIS,1,90,0,133,1
GRIS,1,91,0,125,1
GRIS,1,92,0,124,1
GRIS,1,93,0,123,1
GRIS,1,94,0,121,1
GRIS,1,95,0,122,1
GRIS,1,96,0,125,1
GRIS,1,97,0,126,1
GRIS,1,98,0,127,1
GRIS,1,99,0,128,1
GRIS,1,100,0,126,1
GRIS,2,1,0,155,1
GRIS,2,2,0,136,1
GRIS,2,3,0,135,1
GRIS,2,4,0,135,1
GRIS,2,5,0,134,1
GRIS,2,6,0,134,1
GRIS,2,7,0,134,1
GRIS,2,8,0,132,1
GRIS,2,9,0,135,1
GRIS,2,10,0,138,1
GRIS,2,11,0,133,1
GRIS,2,12,0,136,1
GRIS,2,13,0,126,1
GRIS,2,14,0,127,1
GRIS,2,15,0,126,1
GRIS,2,16,0,131,1
GRIS,2,17,0,133,1
GRIS,2,18,0,131,1
GRIS,2,19,0,130,1
GRIS,2,20,0,137,1
GRIS,2,21,0,125,1
GRIS,2,22,0,129,1
GRIS,2,23,0,128,1
GRIS,2,24,0,130,1
GRIS,2,25,0,133,1
GRIS,2,26,0,129,1
GRIS,2,27,0,126,1
GRIS,2,28,0,126,1
GRIS,2,29,0,129,1
GRIS,2,30,0,131,1
GRIS,2,31,0,111,1
GRIS,2,32,0,131,1
GRIS,2,33,0,134,1
GRIS,2,34,0,136,1
GRIS,2,35,0,133,1
GRIS,2,36,0,134,1
GRIS,2,37,0,127,1
GRIS,2,38,0,128,1
GRIS,2,39,0,131,1
GRIS,2,40,0,130,1
GRIS,2,41,0,125,1
GRIS,2,42,0,133,1
GRIS,2,43,0,130,1
GRIS,2,44,0,130,1
GRIS,2,45,0,130,1
GRIS,2,46,0,127,1
GRIS,2,47,0,129,1
GRIS,2,48,0,133,1
GRIS,2,49,0,131,1
GRIS,2,50,0,128,1
GRIS,2,51,0,131,1
GRIS,2,52,0,131,1
GRIS,2,53,0,131,1
GRIS,2,54,0,135,1
GRIS,2,55,0,131,1
GRIS,2,56,0,132,1
GRIS,2,57,0,131,1
GRIS,2,58,0,130,1
GRIS,2,59,0,128,1
GRIS,2,60,0,132,1
GRIS,2,61,0,128,1
GRIS,2,62,0,129,1
GRIS,2,63,0,130,1
GRIS,2,64,0,130,1
GRIS,2,65,0,129,1
GRIS,2,66,0,129,1
GRIS,2,67,0,122,1
GRIS,2,68,0,126,1
GRIS,2,69,0,127,1
GRIS,2,70,0,130,1
GRIS,2,71,0,129,1
GRIS,2,72,0,128,1
GRIS,2,73,0,123,1
GRIS,2,74,0,128,1
GRIS,2,75,0,127,1
GRIS,2,76,0,129,1
GRIS,2,77,0,130,1
GRIS,2,78,0,130,1
GRIS,2,79,0,128,1
GRIS,2,80,0,131,1
GRIS,2,81,0,126,1
GRIS,2,82,0,127,1
GRIS,2,83,0,125,1
GRIS,2,84,0,129,1
GRIS,2,85,0,127,1
GRIS,2,86,0,127,1
GRIS,2,87,0,124,1
GRIS,2,88,0,125,1
GRIS,2,89,0,124,1
GRIS,2,90,0,124,1
GRIS,2,91,0,124,1
