# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 07:14:49.613293
# Surface: NEGRO
# Number of points: 4
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
NEGRO,3,47,0,155,1
NEGRO,3,48,0,157,1
NEGRO,3,49,0,147,1
NEGRO,3,50,0,156,1
NEGRO,3,51,0,149,1
NEGRO,3,52,0,163,1
NEGRO,3,53,0,159,1
NEGRO,3,54,0,109,1
NEGRO,3,55,0,160,1
NEGRO,3,56,0,132,1
NEGRO,3,57,0,163,1
NEGRO,3,58,0,163,1
NEGRO,3,59,0,162,1
NEGRO,3,60,0,158,1
NEGRO,4,1,0,189,1
NEGRO,4,2,0,176,1
NEGRO,4,3,0,170,1
NEGRO,4,4,0,164,1
NEGRO,4,5,0,165,1
NEGRO,4,6,0,171,1
NEGRO,4,7,0,166,1
NEGRO,4,8,0,163,1
NEGRO,4,9,0,169,1
NEGRO,4,10,0,155,1
NEGRO,4,11,0,159,1
NEGRO,4,12,0,159,1
NEGRO,4,13,0,162,1
NEGRO,4,14,0,183,1
NEGRO,4,15,0,151,1
NEGRO,4,16,0,155,1
NEGRO,4,17,0,157,1
NEGRO,4,18,0,159,1
NEGRO,4,19,0,159,1
NEGRO,4,20,0,169,1
NEGRO,4,21,0,149,1
NEGRO,4,22,0,161,1
NEGRO,4,23,0,163,1
NEGRO,4,24,0,165,1
NEGRO,4,25,0,159,1
NEGRO,4,26,0,162,1
NEGRO,4,27,0,164,1
NEGRO,4,28,0,162,1
NEGRO,4,29,0,163,1
NEGRO,4,30,0,158,1
NEGRO,4,31,0,162,1
NEGRO,4,32,0,159,1
NEGRO,4,33,0,160,1
NEGRO,4,34,0,141,1
NEGRO,4,35,0,159,1
NEGRO,4,36,0,156,1
NEGRO,4,37,0,156,1
NEGRO,4,38,0,156,1
NEGRO,4,39,0,156,1
NEGRO,4,40,0,153,1
NEGRO,4,41,0,155,1
NEGRO,4,42,0,155,1
NEGRO,4,43,0,155,1
NEGRO,4,44,0,155,1
NEGRO,4,45,0,155,1
NEGRO,4,46,0,153,1
NEGRO,4,47,0,153,1
NEGRO,4,48,0,153,1
NEGRO,4,49,0,155,1
NEGRO,4,50,0,154,1
NEGRO,4,51,0,154,1
NEGRO,4,52,0,153,1
NEGRO,4,53,0,155,1
NEGRO,4,54,0,153,1
NEGRO,4,55,0,153,1
NEGRO,4,56,0,153,1
NEGRO,4,57,0,155,1
NEGRO,4,58,0,153,1
NEGRO,4,59,0,155,1
NEGRO,4,60,0,154,1
