# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 15:22:00.952249
# Surface: NEGRO
# Number of points: 4
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
NEGRO,1,1,3304,2930,1
NEGRO,1,2,3062,2928,1
NEGRO,1,3,3508,2926,1
NEGRO,1,4,4036,2913,1
NEGRO,1,5,4075,2934,1
NEGRO,1,6,3191,2935,1
NEGRO,1,7,4095,2921,1
NEGRO,1,8,3982,2927,1
NEGRO,1,9,3940,2923,1
NEGRO,1,10,3222,2920,1
NEGRO,1,11,3220,2930,1
NEGRO,1,12,3566,2937,1
NEGRO,1,13,3786,2935,1
NEGRO,1,14,3635,2932,1
NEGRO,1,15,4022,2928,1
NEGRO,1,16,3985,2930,1
NEGRO,1,17,3735,2924,1
NEGRO,1,18,3679,2924,1
NEGRO,1,19,3913,2926,1
NEGRO,1,20,3541,2929,1
NEGRO,1,21,4092,2888,1
NEGRO,1,22,3477,2914,1
NEGRO,1,23,3556,2910,1
NEGRO,1,24,3753,2908,1
NEGRO,1,25,3637,2927,1
NEGRO,1,26,3855,2920,1
NEGRO,1,27,3191,2927,1
NEGRO,1,28,3590,2887,1
NEGRO,1,29,4078,2927,1
NEGRO,1,30,3188,2932,1
NEGRO,1,31,3700,2911,1
NEGRO,1,32,3716,2891,1
NEGRO,1,33,3853,2926,1
NEGRO,1,34,2962,2924,1
NEGRO,1,35,3923,2884,1
NEGRO,1,36,3544,2908,1
NEGRO,1,37,3979,2907,1
NEGRO,1,38,4095,2922,1
NEGRO,1,39,4095,2862,1
NEGRO,1,40,3824,2900,1
NEGRO,1,41,4091,2846,1
NEGRO,1,42,4020,2923,1
NEGRO,1,43,4002,2922,1
NEGRO,1,44,4095,2927,1
NEGRO,1,45,4095,2932,1
NEGRO,1,46,3613,2932,1
NEGRO,1,47,3934,2927,1
NEGRO,1,48,3228,2928,1
NEGRO,1,49,2825,2929,1
NEGRO,1,50,4076,2926,1
NEGRO,1,51,3740,2931,1
NEGRO,1,52,3901,2896,1
NEGRO,1,53,4043,2915,1
NEGRO,1,54,4061,2929,1
NEGRO,1,55,4070,2933,1
NEGRO,1,56,3729,2935,1
NEGRO,1,57,3667,2930,1
NEGRO,1,58,3467,2919,1
NEGRO,1,59,4093,2931,1
NEGRO,1,60,4094,2933,1
NEGRO,2,1,3801,2933,1
NEGRO,2,2,2791,2935,1
NEGRO,2,3,4071,2934,1
