# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 07:11:55.457608
# Surface: NEGRO
# Number of points: 4
# Samples per point: 60
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
NEGRO,1,1,0,125,1
NEGRO,1,2,0,109,1
NEGRO,1,3,0,101,1
NEGRO,1,4,0,104,1
NEGRO,1,5,0,107,1
NEGRO,1,6,0,112,1
NEGRO,1,7,0,123,1
NEGRO,1,8,0,124,1
NEGRO,1,9,0,127,1
NEGRO,1,10,0,124,1
NEGRO,1,11,0,122,1
NEGRO,1,12,0,113,1
NEGRO,1,13,0,104,1
NEGRO,1,14,0,97,1
NEGRO,1,15,0,95,1
NEGRO,1,16,0,98,1
NEGRO,1,17,0,115,1
NEGRO,1,18,0,127,1
NEGRO,1,19,0,125,1
NEGRO,1,20,0,116,1
NEGRO,1,21,0,100,1
NEGRO,1,22,0,95,1
NEGRO,1,23,0,95,1
NEGRO,1,24,0,96,1
NEGRO,1,25,0,101,1
NEGRO,1,26,0,105,1
NEGRO,1,27,0,113,1
NEGRO,1,28,0,116,1
NEGRO,1,29,0,119,1
NEGRO,1,30,0,120,1
NEGRO,1,31,0,122,1
NEGRO,1,32,0,115,1
NEGRO,1,33,0,106,1
NEGRO,1,34,0,101,1
NEGRO,1,35,0,97,1
NEGRO,1,36,0,97,1
NEGRO,1,37,0,102,1
NEGRO,1,38,0,109,1
NEGRO,1,39,0,118,1
NEGRO,1,40,0,124,1
NEGRO,1,41,0,121,1
NEGRO,1,42,0,114,1
NEGRO,1,43,0,107,1
NEGRO,1,44,0,99,1
NEGRO,1,45,0,92,1
NEGRO,1,46,0,96,1
NEGRO,1,47,0,106,1
NEGRO,1,48,0,117,1
NEGRO,1,49,0,122,1
NEGRO,1,50,0,114,1
NEGRO,1,51,0,111,1
NEGRO,1,52,0,103,1
NEGRO,1,53,0,99,1
NEGRO,1,54,0,98,1
NEGRO,1,55,0,97,1
NEGRO,1,56,0,99,1
NEGRO,1,57,0,112,1
NEGRO,1,58,0,123,1
NEGRO,1,59,0,118,1
NEGRO,1,60,0,106,1
