# ROVER IR SENSOR CHARACTERIZATION
# Date: 2026-08-28 07:44:29.094429
# Surface: GRIS
# Number of points: 5
# Samples per point: 100
# Sample interval: 250 ms
# Movement time between points: 10 s
surface,point,sample,analog_QTRX_A,analog_QTRX_B,generic_IR
GRIS,2,57,3768,2912,1
GRIS,2,58,3796,2912,1
GRIS,2,59,3832,2914,1
GRIS,2,60,3844,2913,1
GRIS,2,61,3884,2913,1
GRIS,2,62,3218,2895,1
GRIS,2,63,3105,2814,1
GRIS,2,64,3853,2907,1
GRIS,2,65,3538,2886,1
GRIS,2,66,3499,2807,1
GRIS,2,67,2628,2877,1
GRIS,2,68,3050,2876,1
GRIS,2,69,3233,2891,1
GRIS,2,70,2849,2864,1
GRIS,2,71,3544,2838,1
GRIS,2,72,3097,2802,1
GRIS,2,73,3312,2815,1
GRIS,2,74,3711,2794,1
GRIS,2,75,3145,2748,1
GRIS,2,76,3246,2891,1
GRIS,2,77,3906,2875,1
GRIS,2,78,3726,2901,1
GRIS,2,79,3535,2743,1
GRIS,2,80,3640,2911,1
GRIS,2,81,4028,2900,1
GRIS,2,82,3767,2868,1
GRIS,2,83,3418,2913,1
GRIS,2,84,3481,2894,1
GRIS,2,85,3231,2892,1
GRIS,2,86,3224,2836,1
GRIS,2,87,3164,2887,1
GRIS,2,88,3740,2837,1
GRIS,2,89,3653,2891,1
GRIS,2,90,3215,2611,1
GRIS,2,91,3344,2808,1
GRIS,2,92,3147,2889,1
GRIS,2,93,3523,2843,1
GRIS,2,94,3166,2895,1
GRIS,2,95,3347,2863,1
GRIS,2,96,3412,2881,1
GRIS,2,97,4027,2888,1
GRIS,2,98,3426,2903,1
GRIS,2,99,3896,2866,1
GRIS,2,100,3397,2893,1
GRIS,3,1,3397,2849,1
GRIS,3,2,3316,2870,1
GRIS,3,3,3027,2865,1
GRIS,3,4,3414,2874,1
GRIS,3,5,3489,2803,1
GRIS,3,6,3509,2781,1
GRIS,3,7,2786,2769,1
GRIS,3,8,3028,2901,1
GRIS,3,9,2865,2864,1
GRIS,3,10,3742,2875,1
GRIS,3,11,2839,2879,1
GRIS,3,12,3349,2829,1
GRIS,3,13,3600,2879,1
GRIS,3,14,3639,2775,1
GRIS,3,15,3082,2901,1
GRIS,3,16,3201,2468,1
GRIS,3,17,3492,2886,1
GRIS,3,18,3294,2876,1
GRIS,3,19,3520,2888,1
GRIS,3,20,3570,2904,1
GRIS,3,21,3506,2904,1
GRIS,3,22,3500,2871,1
GRIS,3,23,3440,2899,1
GRIS,3,24,2983,2867,1
GRIS,3,25,3096,2806,1
GRIS,3,26,4022,2897,1
GRIS,3,27,3804,2893,1
GRIS,3,28,3456,2871,1
GRIS,3,29,3025,2842,1
GRIS,3,30,2988,2897,1
GRIS,3,31,3463,2895,1
GRIS,3,32,3551,2852,1
GRIS,3,33,3170,2831,1
GRIS,3,34,3674,2900,1
GRIS,3,35,3604,2898,1
GRIS,3,36,3705,2910,1
GRIS,3,37,3710,2837,1
GRIS,3,38,3919,2903,1
GRIS,3,39,3681,2894,1
GRIS,3,40,3975,2888,1
GRIS,3,41,3279,2892,1
GRIS,3,42,3128,2886,1
GRIS,3,43,3540,2893,1
GRIS,3,44,3448,2784,1
GRIS,3,45,3879,2890,1
GRIS,3,46,3539,2871,1
GRIS,3,47,3351,2889,1
GRIS,3,48,3744,2904,1
GRIS,3,49,3407,2902,1
GRIS,3,50,3671,2817,1
GRIS,3,51,3501,2921,1
GRIS,3,52,3602,2869,1
GRIS,3,53,3944,2907,1
GRIS,3,54,3604,2889,1
GRIS,3,55,3328,2907,1
GRIS,3,56,3432,2900,1
GRIS,3,57,3752,2899,1
GRIS,3,58,3614,2792,1
GRIS,3,59,3814,2890,1
GRIS,3,60,3485,2914,1
GRIS,3,61,3490,2871,1
GRIS,3,62,3223,2835,1
GRIS,3,63,3428,2829,1
GRIS,3,64,3656,2864,1
GRIS,3,65,3107,2899,1
GRIS,3,66,3708,2878,1
